No,Kategori RMIB,Nama Pekerjaan
1,Outdoor,Profesional Geodesi dan Geomatika
2,Mechanical,Insinyur Sipil
3,Computational,Akuntan
4,Scientific,Ilmuwan
5,Personal Contact,Manager Penjualan
6,Aesthetic,Seniman
7,Literary,Wartawan
8,Musical,Pianis Konser
9,Social Service,Konselor Kesehatan
10,Clerical,Manager Bank
11,Practical,Engineering staff
12,Medical,Dokter
13,Mechanical,Perancang dan Pengembang Alat
14,Computational,Ahli Statistik
15,Scientific,Insinyur Kimia Industri
16,Personal Contact,Penyiar Radio
17,Aesthetic,Artis Profesional
18,Literary,Pengarang
19,Musical,Dirigen Orkestra
20,Social Service,Psikolog Pendidikan
21,Clerical,Sekretaris Perusahaan
22,Practical,Ahli Bangunan
23,Medical,Ahli Bedah
24,Outdoor,Ahli Kehutanan
25,Computational,Auditor
26,Scientific,Ahli Meteorologi
27,Personal Contact,Salesman
28,Aesthetic,Arsitek
29,Literary,Penulis Drama
30,Musical,Komponis
31,Social Service,Kepala Sekolah
32,Clerical,Pegawai Kecamatan
33,Practical,Manufaktur dan Produksi
34,Medical,Dokter Hewan
35,Outdoor,Asisten Spesialis Restorasi Ekosistem dan Reforestasi
36,Mechanical,Instrumentation and Automation Engineer
37,Scientific,Ahli Biologi
38,Personal Contact,Influencer
39,Aesthetic,Dekorator Interior
40,Literary,Ahli Sejarah
41,Musical,Kritikus Musik
42,Social Service,Trainer
43,Clerical,Regulator Bidang Keuangan
44,Practical,Site Operasional
45,Medical,Apoteker
46,Outdoor,Pariwisata Bahari
47,Mechanical,Electrical Engineer
48,Computational,Business Analyst
49,Personal Contact,Petugas Wawancara
50,Aesthetic,Perancang Perhiasan
51,Literary,Ahli Perpustakaan
52,Musical,Guru Musik
53,Social Service,Pembina Rohani
54,Clerical,Digital Data Curator
55,Practical,Supervisor Jasa Konstruksi
56,Medical,Dokter Gigi
57,Outdoor,Prospektor
58,Mechanical,Site Engineering
59,Computational,Guru Ilmu Pasti
60,Scientific,Ahli Pertanian
61,Aesthetic,Fotografer
62,Literary,Penulis Majalah
63,Musical,Pemain Orgen Tunggal
64,Social Service,Sociopreneur
65,Clerical,Supervisor & Manager Rantai Pasok
66,Practical,Building contractor
67,Medical,Ahli Kacamata
68,Outdoor,Oil and Gas Engineer
69,Mechanical,Renewable Energy Engineer
70,Computational,Asisten Kasir Bank
71,Scientific,Ahli Botani
72,Personal Contact,Pedagang Keliling
73,Literary,Kritikus Buku
74,Musical,Ahli Pustaka Musik
75,Social Service,Community Facilitator
76,Clerical,Pegawai Kantor
77,Practical,Pelaksana Pekerjaan Lanskap
78,Medical,Ahli Rontgent
79,Outdoor,Analis Hidrografi dan Metocean
80,Mechanical,Pemeliharaan Sarana Kereta Api
81,Computational,Ekonom Perminyakan & Investasi
82,Scientific,Ahli Astronomi
83,Personal Contact,Juru Lelang
84,Aesthetic,Penata Panggung
85,Musical,Pemain Musik Band
86,Social Service,Ahli Penyuluh Jabatan
87,Clerical,Pegawai Kantor Pos
88,Practical,Piping Engineer
89,Medical,Ahli Fisioterapi
90,Outdoor,Sopir Angkutan Umum
91,Mechanical,Product Designer
92,Computational,Data Science Architect
93,Scientific,Ahli Geologi
94,Personal Contact,Petugas Hubungan Masyarakat
95,Aesthetic,Illustrator
96,Literary,Jurnalis
97,Social Service,Petugas Kesejahteraan Sosial
98,Clerical,Petugas Ekspedisi Surat
99,Practical,Quality Control Staff
100,Medical,Paramedik/Mantri Kesehatan
101,Outdoor,Petani Tanaman Hias
102,Mechanical,Welding Inspector
103,Computational,Regulator Bidang Keuangan
104,Scientific,Asisten Laboratorium
105,Personal Contact,Human Resource (HR)
106,Aesthetic,Perancang Motif Tekstil
107,Literary,Penyair
108,Musical,Pramuniaga Toko Musik
