No,Kategori RMIB,Nama Pekerjaan
1,Outdoor,Profesional Geodesi dan Geomatika
2,Mechanical,Instrumentation and Automation Engineer
3,Computational,Akuntan
4,Scientific,Ilmuwan
5,Personal Contact,Penjual produk fashion
6,Aesthetic,Seniawati/ Seniman Wanita
7,Literary,Wartawati/ Wartawan Wanita
8,Musical,Pianis Konser
9,Social Service,Konselor Kesehatan
10,Clerical,Sekretaris Pribadi
11,Practical,Teknisi Scale-Up Formulasi
12,Medical,Dokter
13,Mechanical,Petugas Assembling/ Perakitan Alat
14,Computational,Data Engineer
15,Scientific,Insinyur Kimia Industri
16,Personal Contact,Penyiar Radio
17,Aesthetic,Artis Profesional
18,Literary,Pengarang
19,Musical,Pemain Musik Orkestra
20,Social Service,Psikolog Pendidikan
21,Clerical,Administrator Jaringan
22,Practical,Pembuat Pot Keramik
23,Medical,Ahli Bedah
24,Outdoor,Guru Pendidikan Jasmani
25,Computational,Auditor
26,Scientific,Ahli Meteorologi
27,Personal Contact,Salesgirl
28,Aesthetic,Guru Kesenian
29,Literary,Penulis Naskah Drama
30,Musical,Komponis Lagu
31,Social Service,Kepala Yayasan Sosial
32,Clerical,Resepsionis
33,Practical,Cosmetic Product Designer
34,Medical,Dokter Hewan
35,Outdoor,Pariwisata Bahari
36,Mechanical,Pegawai PDAM
37,Scientific,Ahli Biologi
38,Personal Contact,Influencer
39,Aesthetic,Dekorator Interior
40,Literary,Ahli Sejarah
41,Musical,Kritikus Musik
42,Social Service,Pekerja Sosial
43,Clerical,Digital Data Curator
44,Practical,Penjilid Buku
45,Medical,Apoteker
46,Outdoor,Ahli Pertamanan
47,Mechanical,Product Designer
48,Computational,Petugas Mesin Hitung
49,Personal Contact,Petugas Wawancara
50,Aesthetic,Perancang Pakaian
51,Literary,Ahli Perpustakaan
52,Musical,Guru Musik
53,Social Service,Pembina Agama
54,Clerical,Petugas Arsip
55,Practical,Process Development Scientist
56,Medical,Pelatih Rehabilitasi Pasien
57,Outdoor,Pembina Keolahragaan
58,Mechanical,Ahli Reparasi Jam
59,Computational,Guru Ilmu Pasti
60,Scientific,Ahli Pertanian
61,Aesthetic,Fotografer
62,Literary,Penulis Majalah
63,Musical,Pemain Orgen Tunggal
64,Social Service,Petugas Palang Merah
65,Clerical,Pegawai Bank
66,Practical,Manufaktur dan Produksi
67,Medical,Perawat
68,Outdoor,Peternak
69,Mechanical,Ahli Optik
70,Computational,Kasir
71,Scientific,Ahli Botani
72,Personal Contact,Perencana Strategis
73,Literary,Kritikus Buku
74,Musical,Ahli Pustaka Musik
75,Social Service,Trainer
76,Clerical,Pegawai Kantor
77,Practical,Pelaksana Pekerjaan Lanskap
78,Medical,Ahli Rontgen
79,Outdoor,Petani Bunga
80,Mechanical,Industrial Engineer
81,Computational,Ahli Tata Buku
82,Scientific,Ahli Astronomi
83,Personal Contact,Peraga Alat Kosmetika
84,Aesthetic,Penata Panggung
85,Musical,Pemain Musik Band
86,Social Service,Ahli Penyuluh Jabatan
87,Clerical,Pegawai Kantor Pos
88,Practical,Engineering staff
89,Medical,Ahli Fisioterapi
90,Outdoor,Peternak Ayam
91,Mechanical,Ahli Reparasi Permata
92,Computational,Business Analyst
93,Scientific,Ahli Geologi
94,Personal Contact,Petugas Hubungan Masyarakat
95,Aesthetic,Penata Etalase
96,Literary,Jurnalis
97,Social Service,Petugas Kesejahteraan Sosial
98,Clerical,Penyusun Arsip
99,Practical,Juru Masak
100,Medical,Perawat Orang Tua/ Caregiver
101,Outdoor,Tukang Kebun
102,Mechanical,Production Engineer Kosmetik
103,Computational,Pegawai Pajak
104,Scientific,Asisten Laboratorium
105,Personal Contact,Human Resource (HR)
106,Aesthetic,Perancang Motif Tekstil
107,Literary,Penyair
108,Musical,Pramuniaga Toko Musik
